                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73633,                 6.2127,                 1.3567,                0.00437,                0.64913,                0.01013,                0.00864,                0.60702,                 4.0831,                  1.466,             1.6626e-05,             1.6626e-05,             1.6626e-05
                      2,                0.57419,                 4.5459,                 1.2008,                0.00537,                0.95045,                0.02479,                0.02225,                0.52266,                 3.5477,                 1.3359,             3.1974e-05,             3.1974e-05,             3.1974e-05
                      3,                   0.54,                  3.997,                 1.1656,                0.00635,                 0.9912,                0.04399,                0.03914,                0.51077,                 3.3159,                 1.2861,             4.6002e-05,             4.6002e-05,             4.6002e-05
                      4,                0.52625,                 3.6827,                 1.1467,                0.40594,                0.09291,                0.06425,                0.05858,                 0.4628,                 3.1365,                 1.2268,              4.406e-05,              4.406e-05,              4.406e-05
                      5,                0.49928,                 3.4348,                  1.123,                0.38364,                0.14587,                0.11662,                0.10524,                0.45124,                 2.9247,                 1.1979,              4.406e-05,              4.406e-05,              4.406e-05
                      6,                 0.4954,                 3.2101,                 1.1194,                0.34261,                0.24056,                0.18028,                0.16504,                0.42382,                  2.716,                 1.1704,              4.208e-05,              4.208e-05,              4.208e-05
                      7,                0.48699,                 2.9988,                 1.1133,                0.34007,                0.31463,                0.26311,                0.24178,                0.41736,                 2.4729,                 1.1504,               4.01e-05,               4.01e-05,               4.01e-05
                      8,                0.47504,                 2.8109,                 1.1036,                0.37447,                0.36646,                0.32438,                0.29898,                0.41625,                 2.3175,                 1.1476,              3.812e-05,              3.812e-05,              3.812e-05
                      9,                0.47001,                 2.6454,                 1.0985,                0.40788,                0.39557,                 0.3754,                0.34673,                0.40893,                 2.1603,                  1.133,              3.614e-05,              3.614e-05,              3.614e-05
                     10,                0.46688,                   2.49,                 1.0935,                0.44019,                0.44151,                0.44732,                0.41254,                0.40658,                 1.9836,                 1.1284,              3.416e-05,              3.416e-05,              3.416e-05
                     11,                0.46259,                  2.368,                 1.0923,                0.50195,                0.45732,                0.49138,                0.45505,                0.41329,                 1.8589,                 1.1243,              3.218e-05,              3.218e-05,              3.218e-05
                     12,                0.45913,                 2.2454,                 1.0849,                0.46397,                0.49989,                0.52989,                0.49052,                0.39997,                 1.7661,                 1.1173,               3.02e-05,               3.02e-05,               3.02e-05
                     13,                0.45617,                 2.1452,                 1.0819,                0.53466,                  0.516,                0.56478,                 0.5238,                0.39824,                 1.6778,                 1.1066,              2.822e-05,              2.822e-05,              2.822e-05
                     14,                0.45352,                 2.0452,                 1.0841,                0.54491,                0.56636,                0.59835,                0.55202,                0.40517,                 1.5555,                 1.1083,              2.624e-05,              2.624e-05,              2.624e-05
                     15,                0.44381,                 1.9509,                 1.0722,                0.53775,                0.57467,                0.61284,                0.56681,                0.39302,                 1.4821,                 1.0954,              2.426e-05,              2.426e-05,              2.426e-05
                     16,                0.37363,                 1.5027,                 1.0786,                0.61092,                0.59021,                0.65727,                0.61163,                0.39279,                  1.356,                 1.0917,              2.228e-05,              2.228e-05,              2.228e-05
                     17,                0.35275,                 1.3565,                 1.0514,                0.61465,                0.60099,                0.66977,                0.62621,                 0.3715,                 1.3185,                 1.0659,               2.03e-05,               2.03e-05,               2.03e-05
                     18,                0.34319,                 1.2348,                 1.0404,                0.63721,                0.62597,                0.69327,                0.64853,                0.37329,                 1.2491,                 1.0596,              1.832e-05,              1.832e-05,              1.832e-05
                     19,                0.33745,                 1.1577,                 1.0299,                0.65214,                0.64395,                 0.7042,                0.66063,                0.36589,                 1.2073,                 1.0503,              1.634e-05,              1.634e-05,              1.634e-05
                     20,                0.33155,                 1.0679,                 1.0255,                0.65728,                0.66972,                0.72398,                0.67903,                 0.3594,                 1.1628,                 1.0453,              1.436e-05,              1.436e-05,              1.436e-05
                     21,                 0.3277,                 1.0254,                 1.0235,                0.65688,                0.66204,                0.72757,                0.68455,                0.35458,                 1.1399,                 1.0389,              1.238e-05,              1.238e-05,              1.238e-05
                     22,                0.32184,                0.95394,                 1.0111,                0.68191,                0.67727,                0.73709,                0.69447,                0.35329,                 1.1086,                 1.0335,               1.04e-05,               1.04e-05,               1.04e-05
                     23,                 0.3193,                0.91742,                 1.0079,                0.68492,                0.67402,                0.74112,                0.69868,                0.35333,                 1.1022,                 1.0331,               8.42e-06,               8.42e-06,               8.42e-06
                     24,                 0.3163,                0.87692,                 1.0138,                 0.6829,                 0.6957,                0.74728,                0.70513,                0.34966,                 1.0891,                 1.0293,               6.44e-06,               6.44e-06,               6.44e-06
                     25,                0.31122,                 0.8516,                 1.0021,                0.70318,                0.68678,                0.75407,                0.71035,                0.34672,                 1.0654,                 1.0267,               4.46e-06,               4.46e-06,               4.46e-06
